Code,Name,Longitude,Latitude,Logger,Date,CHL_QA_AVG,NTU_QA_AVG
WHI1,Double Cone Island,148.7217,-20.1049,352,1/07/2020,0.647,1.32
WHI1,Double Cone Island,148.7217,-20.1049,352,2/07/2020,0.524,1.223
WHI1,Double Cone Island,148.7217,-20.1049,352,3/07/2020,0.547,1.463
WHI1,Double Cone Island,148.7217,-20.1049,352,4/07/2020,0.564,1.528
WHI1,Double Cone Island,148.7217,-20.1049,352,5/07/2020,0.612,2.267
WHI1,Double Cone Island,148.7217,-20.1049,352,6/07/2020,0.694,2.397
WHI1,Double Cone Island,148.7217,-20.1049,352,7/07/2020,0.719,2.548
WHI1,Double Cone Island,148.7217,-20.1049,352,8/07/2020,0.739,2.138
WHI1,Double Cone Island,148.7217,-20.1049,352,9/07/2020,0.712,1.613
WHI1,Double Cone Island,148.7217,-20.1049,352,10/07/2020,0.596,1.392
WHI1,Double Cone Island,148.7217,-20.1049,352,11/07/2020,0.567,1.343
WHI1,Double Cone Island,148.7217,-20.1049,352,12/07/2020,0.497,1.323
WHI1,Double Cone Island,148.7217,-20.1049,352,13/07/2020,0.545,1.496
WHI1,Double Cone Island,148.7217,-20.1049,352,14/07/2020,0.506,1.707
WHI1,Double Cone Island,148.7217,-20.1049,352,15/07/2020,0.49,1.351
WHI1,Double Cone Island,148.7217,-20.1049,352,16/07/2020,0.517,1.537
WHI1,Double Cone Island,148.7217,-20.1049,352,17/07/2020,0.512,1.539
WHI1,Double Cone Island,148.7217,-20.1049,352,18/07/2020,0.497,1.573
WHI1,Double Cone Island,148.7217,-20.1049,352,19/07/2020,0.452,1.598
WHI1,Double Cone Island,148.7217,-20.1049,352,20/07/2020,0.413,1.605
WHI1,Double Cone Island,148.7217,-20.1049,352,21/07/2020,0.571,1.977
WHI1,Double Cone Island,148.7217,-20.1049,352,22/07/2020,0.64,2.403
WHI1,Double Cone Island,148.7217,-20.1049,352,23/07/2020,0.689,2.244
WHI1,Double Cone Island,148.7217,-20.1049,352,24/07/2020,0.774,2.191
WHI1,Double Cone Island,148.7217,-20.1049,352,25/07/2020,0.687,1.637
WHI1,Double Cone Island,148.7217,-20.1049,352,26/07/2020,0.665,1.28
WHI1,Double Cone Island,148.7217,-20.1049,352,27/07/2020,0.715,1.228
WHI1,Double Cone Island,148.7217,-20.1049,352,28/07/2020,0.556,0.819
WHI1,Double Cone Island,148.7217,-20.1049,352,29/07/2020,0.472,0.802
WHI1,Double Cone Island,148.7217,-20.1049,352,30/07/2020,0.513,1.278
WHI1,Double Cone Island,148.7217,-20.1049,352,31/07/2020,0.483,0.91
WHI1,Double Cone Island,148.7217,-20.1049,352,1/08/2020,0.488,1.4
WHI1,Double Cone Island,148.7217,-20.1049,352,2/08/2020,0.515,1.556
WHI1,Double Cone Island,148.7217,-20.1049,352,3/08/2020,0.601,1.182
WHI1,Double Cone Island,148.7217,-20.1049,352,4/08/2020,0.543,0.964
WHI1,Double Cone Island,148.7217,-20.1049,352,5/08/2020,0.464,0.856
WHI1,Double Cone Island,148.7217,-20.1049,352,6/08/2020,0.494,0.965
WHI1,Double Cone Island,148.7217,-20.1049,352,7/08/2020,0.556,0.786
WHI1,Double Cone Island,148.7217,-20.1049,352,8/08/2020,0.593,0.755
WHI1,Double Cone Island,148.7217,-20.1049,352,9/08/2020,0.533,0.63
WHI1,Double Cone Island,148.7217,-20.1049,352,10/08/2020,0.496,0.656
WHI1,Double Cone Island,148.7217,-20.1049,352,11/08/2020,0.448,0.492
WHI1,Double Cone Island,148.7217,-20.1049,352,12/08/2020,0.426,0.488
WHI1,Double Cone Island,148.7217,-20.1049,352,13/08/2020,0.444,0.502
WHI1,Double Cone Island,148.7217,-20.1049,352,14/08/2020,0.41,0.5
WHI1,Double Cone Island,148.7217,-20.1049,352,15/08/2020,0.363,0.471
WHI1,Double Cone Island,148.7217,-20.1049,352,16/08/2020,0.357,0.514
WHI1,Double Cone Island,148.7217,-20.1049,352,17/08/2020,0.343,0.575
WHI1,Double Cone Island,148.7217,-20.1049,352,18/08/2020,0.369,0.779
WHI1,Double Cone Island,148.7217,-20.1049,352,19/08/2020,0.415,1
WHI1,Double Cone Island,148.7217,-20.1049,352,20/08/2020,0.469,1.126
WHI1,Double Cone Island,148.7217,-20.1049,352,21/08/2020,0.513,1.141
WHI1,Double Cone Island,148.7217,-20.1049,352,22/08/2020,0.486,1.013
WHI1,Double Cone Island,148.7217,-20.1049,352,23/08/2020,0.456,1.167
WHI1,Double Cone Island,148.7217,-20.1049,352,24/08/2020,0.412,0.673
WHI1,Double Cone Island,148.7217,-20.1049,352,25/08/2020,0.37,0.584
WHI1,Double Cone Island,148.7217,-20.1049,352,26/08/2020,0.371,0.984
WHI1,Double Cone Island,148.7217,-20.1049,352,27/08/2020,0.358,0.854
WHI1,Double Cone Island,148.7217,-20.1049,352,28/08/2020,0.362,1.2
WHI1,Double Cone Island,148.7217,-20.1049,352,29/08/2020,0.393,1.493
WHI1,Double Cone Island,148.7217,-20.1049,352,30/08/2020,0.454,0.988
WHI1,Double Cone Island,148.7217,-20.1049,352,31/08/2020,0.465,0.859
WHI1,Double Cone Island,148.7217,-20.1049,352,1/09/2020,0.435,0.891
WHI1,Double Cone Island,148.7217,-20.1049,352,2/09/2020,0.464,0.981
WHI1,Double Cone Island,148.7217,-20.1049,352,3/09/2020,0.466,0.958
WHI1,Double Cone Island,148.7217,-20.1049,352,4/09/2020,0.453,0.954
WHI1,Double Cone Island,148.7217,-20.1049,352,5/09/2020,0.445,0.853
WHI1,Double Cone Island,148.7217,-20.1049,352,6/09/2020,0.408,0.739
WHI1,Double Cone Island,148.7217,-20.1049,352,7/09/2020,0.41,0.824
WHI1,Double Cone Island,148.7217,-20.1049,352,8/09/2020,0.438,1.328
WHI1,Double Cone Island,148.7217,-20.1049,352,9/09/2020,0.405,0.809
WHI1,Double Cone Island,148.7217,-20.1049,352,10/09/2020,0.396,0.505
WHI1,Double Cone Island,148.7217,-20.1049,352,11/09/2020,0.375,0.59
WHI1,Double Cone Island,148.7217,-20.1049,352,12/09/2020,0.476,1.089
WHI1,Double Cone Island,148.7217,-20.1049,352,13/09/2020,0.738,1.266
WHI1,Double Cone Island,148.7217,-20.1049,352,14/09/2020,0.618,0.841
WHI1,Double Cone Island,148.7217,-20.1049,352,15/09/2020,0.457,0.864
WHI1,Double Cone Island,148.7217,-20.1049,352,16/09/2020,0.535,1.265
WHI1,Double Cone Island,148.7217,-20.1049,352,17/09/2020,0.61,1.64
WHI1,Double Cone Island,148.7217,-20.1049,352,18/09/2020,0.64,1.876
WHI1,Double Cone Island,148.7217,-20.1049,352,19/09/2020,0.645,1.84
WHI1,Double Cone Island,148.7217,-20.1049,352,20/09/2020,0.593,1.509
WHI1,Double Cone Island,148.7217,-20.1049,352,21/09/2020,0.487,0.97
WHI1,Double Cone Island,148.7217,-20.1049,352,22/09/2020,0.615,1.072
WHI1,Double Cone Island,148.7217,-20.1049,352,23/09/2020,0.664,1.139
WHI1,Double Cone Island,148.7217,-20.1049,352,24/09/2020,0.663,0.994
WHI1,Double Cone Island,148.7217,-20.1049,352,25/09/2020,0.598,0.874
WHI1,Double Cone Island,148.7217,-20.1049,352,26/09/2020,0.506,0.743
WHI1,Double Cone Island,148.7217,-20.1049,352,27/09/2020,0.442,0.658
WHI1,Double Cone Island,148.7217,-20.1049,352,28/09/2020,0.419,0.664
WHI1,Double Cone Island,148.7217,-20.1049,352,29/09/2020,0.451,0.805
WHI1,Double Cone Island,148.7217,-20.1049,352,30/09/2020,0.445,0.726
WHI1,Double Cone Island,148.7217,-20.1049,352,1/10/2020,0.396,0.585
WHI1,Double Cone Island,148.7217,-20.1049,352,2/10/2020,0.418,0.71
WHI1,Double Cone Island,148.7217,-20.1049,352,3/10/2020,0.47,1.005
WHI1,Double Cone Island,148.7217,-20.1049,352,4/10/2020,0.492,0.873
WHI1,Double Cone Island,148.7217,-20.1049,352,5/10/2020,0.513,0.732
WHI1,Double Cone Island,148.7217,-20.1049,352,6/10/2020,0.499,0.633
WHI1,Double Cone Island,148.7217,-20.1049,352,7/10/2020,0.459,0.591
WHI1,Double Cone Island,148.7217,-20.1049,352,8/10/2020,0.479,0.662
WHI1,Double Cone Island,148.7217,-20.1049,352,9/10/2020,0.489,0.814
WHI1,Double Cone Island,148.7217,-20.1049,828,9/10/2020,0.291,0.926
WHI1,Double Cone Island,148.7217,-20.1049,828,10/10/2020,0.21,0.965
WHI1,Double Cone Island,148.7217,-20.1049,828,11/10/2020,0.173,0.827
WHI1,Double Cone Island,148.7217,-20.1049,828,12/10/2020,0.193,0.959
