ED PPCP Water Concentration (ng/L),,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Aquila Island,Aquila Island,Aquila Island,,Use water concentration results not mass per sampler,,,,,,,,,,,,,,,,,,,,
Deployment Date,1/12/2020,27/01/2021,11/03/2021,,,,,,,,,,,,,,,,,,,,,,
Retrieval Date,27/01/2021,11/03/2021,21/04/2021,,,,,,,,,,,,,,,,,,,,,,
Days Deployed,57,43,41,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (m/s),0.2,0.268,0.285,,,,,,,,,,,,,,,,,,,,,,
Sample Name,AQ1220_ED_AQA,AQ0121_ED_AQA,AQ0321_ED_AQA,,,,,,,,,,,,,,,,,,,,,,
"2,4-D",<0.570,<0.670,<0.690,,,,,,,,,,,,,,,,,,,,,,
Ametryn,<1.03,<1.21,<1.24,,,,,,,,,,,,,,,,,,,,,,
Atrazine,0.250,0.460,0.180,,,,,,,,,,,,,,,,,,,,,,
Atrazine desethyl,<0.160,<0.190,<0.200,,,,,,,,,,,,,,,,,,,,,,
Atrazine desisopropyl,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Bromacil,<0.090,<0.110,<0.110,,,,,,,,,,,,,,,,,,,,,,
Diuron,<0.160,<0.190,<0.200,,,,,,,,,,,,,,,,,,,,,,
Fluazifop,<0.010,<0.020,<0.020,,,,,,,,,,,,,,,,,,,,,,
Fluometuron,<0.100,<0.120,<0.120,,,,,,,,,,,,,,,,,,,,,,
Fluroxypyr,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Haloxyfop,<0.070,<0.080,<0.090,,,,,,,,,,,,,,,,,,,,,,
Hexazinone,<0.130,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Imazapic,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Imidacloprid,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
MCPA,<0.410,<0.490,<0.500,,,,,,,,,,,,,,,,,,,,,,
Metolachlor (S+R),<0.130,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Metribuzin,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Metsulfuron methyl,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Prometryn,<0.220,<0.260,<0.270,,,,,,,,,,,,,,,,,,,,,,
Propazine,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Simazine,<0.090,<0.110,<0.110,,,,,,,,,,,,,,,,,,,,,,
Tebuconazole,<0.140,<0.160,<0.160,,,,,,,,,,,,,,,,,,,,,,
Terbuthylazine,<0.130,<0.150,<0.150,,,,,,,,,,,,,,,,,,,,,,
Terbutryn,<0.880,<1.03,<1.06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
