,Site Name,Sample Name,Program,Partner,Zone,Code,SampleType,SampleSource,QAType,Deployment_date,Retrieval_date,Days Deployed,Flow Rate (m/s),"2,4-D",Ametryn,Atrazine,Atrazine desethyl,Atrazine desisopropyl,Bromacil,Carbendazim,DEET,Diazinon,Diclofenac,Diuron,Fipronil,Fluazifop,Fluometuron,Fluroxypyr,Haloxyfop,Hexazinone,Hydrochlorthiazide,Imazapic,Imidacloprid,MCPA,Metolachlor (S+R),Metribuzin,Metsulfuron methyl,Prometryn,Propazine,Propoxur,Simazine,Tebuconazole,Tebuthiuron,Terbuthylazine,Terbutryn,Triclopyr,Trimethoprim
1,Flat Top Island,GBR1120_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,31/10/2020,29/11/2020,29,0.33,<0.930,<1.68,0.31,<0.270,<0.220,<0.150,NA,NA,NA,NA,1.97,NA,<0.020,<0.160,<0.220,<0.120,0.71,NA,<0.220,<0.220,<0.680,<0.220,<0.220,<0.220,<0.370,<0.220,NA,<0.150,<0.220,<0.170,<0.210,<1.44,NA,NA
2,Flat Top Island,GBR1220_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,29/11/2020,6/01/2021,38,0.264,<0.760,<1.38,12.9,1.34,0.47,<0.120,NA,NA,NA,NA,20.4,NA,<0.020,<0.130,<0.180,<0.090,8.72,NA,<0.180,1.73,<0.550,0.89,<0.180,<0.180,<0.300,<0.180,NA,<0.120,<0.180,<0.140,0.54,<1.18,NA,NA
3,Flat Top Island,GBR0121_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,6/01/2021,7/02/2021,32,0.31,<0.860,<1.55,13.1,1.09,<0.210,<0.140,NA,NA,NA,NA,31.5,NA,<0.020,<0.150,<0.210,<0.110,12.7,NA,<0.210,6.93,<0.620,2.24,<0.210,4.59,<0.340,0.21,NA,<0.140,<0.210,<0.160,1.21,<1.33,NA,NA
4,Flat Top Island,GBR0221_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,7/02/2021,13/03/2021,34,0.294,<0.820,<1.48,0.84,<0.240,<0.200,<0.130,NA,NA,NA,NA,3.05,NA,<0.020,<0.140,<0.200,<0.100,1.54,NA,<0.200,<0.200,<0.600,<0.190,<0.200,1.6,<0.320,<0.200,NA,<0.130,<0.200,<0.150,<0.180,<1.27,NA,NA
5,Flat Top Island,GBR0321_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,13/03/2021,9/05/2021,57,0.176,<0.610,<1.09,0.4,<0.170,<0.140,<0.100,NA,NA,NA,NA,4.51,NA,<0.010,<0.100,<0.140,<0.080,1.91,NA,<0.140,0.22,<0.440,<0.140,<0.140,0.28,<0.240,<0.140,NA,<0.100,<0.140,<0.110,<0.130,<0.930,NA,NA
6,Flat Top Island,GBR0321_ED_FLT_DUP,MMP,MMP,Central,21-009,Water,Marine,Primary,NA,NA,NA,NA,<0.610,<1.09,0.22,<0.170,<0.140,<0.100,NA,NA,NA,NA,3.94,NA,<0.010,<0.100,<0.140,<0.080,1.78,NA,<0.140,0.17,<0.440,<0.140,<0.140,<0.140,<0.240,<0.140,NA,<0.100,<0.140,<0.110,<0.130,<0.930,NA,NA
7,Flat Top Island,GBR0421_ED_FLT,MMP,MMP,Central,21-009,Water,Marine,Primary,9/05/2021,8/06/2021,30,0.285,<0.940,<1.70,0.3,<0.270,<0.220,<0.150,NA,NA,NA,NA,0.8,NA,<0.020,<0.160,<0.220,<0.120,0.32,NA,<0.220,<0.220,<0.680,<0.220,<0.220,0.66,<0.370,<0.220,NA,<0.150,<0.220,<0.170,<0.210,<1.45,NA,NA
8,Repulse Bay,GBR1120_ED_REB,MMP,MMP,Central,MNP-20-1127,Water,Marine,Primary,1/11/2020,29/11/2020,28,0.368,<0.940,<1.69,2.91,<0.270,<0.220,<0.150,NA,NA,NA,NA,<0.270,NA,<0.020,<0.160,<0.220,<0.120,<0.220,NA,<0.220,<0.220,<0.680,<0.220,<0.220,<0.220,<0.370,<0.220,NA,<0.150,<0.220,<0.170,<0.210,<1.45,NA,NA
9,Repulse Bay,GBR1220_ED_REB,MMP,MMP,Central,MNP-20-1127,Water,Marine,Primary,29/11/2020,17/01/2021,49,0.207,<0.650,<1.18,6.77,1.09,0.17,3.96,NA,NA,NA,NA,25.6,NA,<0.020,<0.110,<0.160,<0.080,15.7,NA,0.19,12.2,<0.470,1.58,<0.160,<0.160,<0.260,<0.160,NA,<0.110,<0.160,0.4,1.13,<1.01,NA,NA
10,Repulse Bay,GBR0121_ED_REB,MMP,MMP,Central,MNP-20-1127,Water,Marine,Primary,17/01/2021,5/02/2021,19,0.431,<1.34,<2.42,8.13,0.47,<0.320,6.66,NA,NA,NA,NA,37.9,NA,<0.030,<0.230,<0.320,<0.170,27,NA,<0.320,11.6,<0.970,3.44,<0.320,0.43,<0.530,<0.320,NA,<0.220,<0.320,0.28,1.72,<2.06,NA,NA
11,Repulse Bay,GBR0221_ED_REB,MMP,MMP,Central,MNP-20-1127,Water,Marine,Primary,5/02/2021,18/03/2021,41,0.252,<0.720,<1.30,0.55,<0.210,<0.170,1.56,NA,NA,NA,NA,7.61,NA,<0.020,<0.120,<0.170,<0.090,5.55,NA,<0.170,0.85,<0.520,0.41,<0.170,4.67,<0.280,<0.170,NA,<0.120,<0.170,<0.130,<0.160,<1.11,NA,NA
12,Repulse Bay,GBR0321_ED_REB,MMP,MMP,Central,MNP-20-1127,Water,Marine,Primary,18/03/2021,9/05/2021,52,0.195,<0.630,<1.14,0.4,<0.180,<0.150,1.17,NA,NA,NA,NA,3.92,NA,<0.020,<0.110,<0.150,<0.080,2.36,NA,<0.150,0.23,<0.460,<0.150,<0.150,1.26,<0.250,<0.150,NA,<0.100,<0.150,<0.120,<0.140,<0.970,NA,NA
13,Sandy Creek,GBR1120_ED_SCK,MMP,MMP,Central,21-018,Water,Marine,Primary,31/10/2020,29/11/2020,29,0.361,<0.910,<1.64,<0.220,<0.260,<0.220,<0.150,NA,NA,NA,NA,6.74,NA,<0.020,<0.160,<0.220,<0.110,3.14,NA,<0.220,0.27,<0.660,0.3,<0.220,<0.220,<0.360,<0.220,NA,<0.150,<0.220,<0.170,<0.200,<1.40,NA,NA
14,Sandy Creek,GBR1120_ED_SCK_DUP,MMP,MMP,Central,21-018,Water,Marine,Primary,NA,NA,NA,NA,<0.910,<1.64,1.59,<0.260,<0.220,<0.150,NA,NA,NA,NA,9.76,NA,<0.020,<0.160,<0.220,<0.110,4.53,NA,<0.220,0.29,<0.660,0.4,<0.220,<0.220,<0.360,<0.220,NA,<0.150,<0.220,<0.170,<0.200,<1.40,NA,NA
15,Sandy Creek,GBR1220_ED_SCK,MMP,MMP,Central,21-018,Water,Marine,Primary,29/11/2020,6/01/2021,38,0.274,1.12,<1.36,12,0.23,<0.180,<0.120,NA,NA,NA,NA,64.4,NA,<0.020,<0.130,<0.180,<0.090,23.8,NA,<0.180,2.19,<0.550,2.29,<0.180,<0.180,<0.300,0.2,NA,<0.120,<0.180,<0.140,1.42,<1.16,NA,NA
16,Sandy Creek,GBR0221_ED_SCK,MMP,MMP,Central,21-018,Water,Marine,Primary,7/02/2021,13/03/2021,34,0.297,<0.820,<1.48,0.83,<0.230,<0.200,<0.130,NA,NA,NA,NA,4.26,NA,<0.020,<0.140,<0.200,<0.100,1.89,NA,<0.200,<0.200,<0.600,<0.190,<0.200,0.6,<0.320,<0.200,NA,<0.130,<0.200,<0.150,<0.180,<1.26,NA,NA
17,Sandy Creek,GBR0321_ED_SCK,MMP,MMP,Central,21-018,Water,Marine,Primary,13/03/2021,9/05/2021,57,0.175,<0.610,<1.09,0.39,<0.170,<0.140,<0.100,NA,NA,NA,NA,4.93,NA,<0.010,<0.100,<0.140,<0.080,1.89,NA,<0.140,0.19,<0.440,0.15,<0.140,0.15,<0.240,<0.140,NA,<0.100,<0.140,<0.110,<0.130,<0.930,NA,NA
18,Sandy Creek,GBR0421_ED_SCK,MMP,MMP,Central,21-018,Water,Marine,Primary,9/05/2021,8/06/2021,30,0.331,<0.900,<1.62,0.25,<0.260,<0.210,<0.150,NA,NA,NA,NA,0.56,NA,<0.020,<0.160,<0.210,<0.110,0.34,NA,<0.210,<0.210,<0.650,<0.210,<0.210,0.95,<0.360,<0.210,NA,<0.150,<0.210,<0.160,<0.200,<1.39,NA,NA
19,Euri Creek,2,NQBP,NQBP,Northern,AP_AMB1,Water,Marine,Primary,5/11/2020,15/12/2020,40,0.291,<0.700,<1.27,<0.170,<0.200,NA,<0.110,<0.200,7.63,<0.170,<0.030,<0.200,<0.070,NA,<0.120,NA,<0.090,<0.160,<0.160,NA,NA,<0.510,<0.160,NA,NA,<0.280,NA,<0.140,<0.110,NA,<0.130,<0.150,<1.08,<0.420,<0.070
20,Euri Creek,2 DUP,NQBP,NQBP,Northern,AP_AMB1,Water,Marine,Primary,NA,NA,NA,NA,<0.700,<1.27,<0.170,<0.200,NA,<0.110,<0.200,10.5,<0.170,<0.030,<0.200,<0.070,NA,<0.120,NA,<0.090,<0.160,<0.160,NA,NA,<0.510,<0.160,NA,NA,<0.280,NA,<0.140,<0.110,NA,<0.130,<0.150,<1.08,<0.420,<0.070
21,Slade Island,1,NQBP,NQBP,Central,MKY_AMB5,Water,Marine,Primary,30/10/2020,2/12/2020,33,0.355,<0.810,<1.45,<0.190,<0.230,NA,<0.130,<0.230,1.25,<0.190,<0.030,0.95,<0.080,NA,<0.140,NA,<0.100,0.27,<0.180,NA,NA,<0.580,<0.190,NA,NA,<0.320,NA,<0.160,<0.130,NA,<0.150,<0.180,<1.24,<0.480,<0.080
22,Slade Island,1 DUP,NQBP,NQBP,Central,MKY_AMB5,Water,Marine,Primary,NA,NA,NA,NA,<0.810,<1.45,<0.190,<0.230,NA,<0.130,<0.230,3.07,<0.190,<0.030,0.81,<0.080,NA,<0.140,NA,<0.100,0.22,<0.180,NA,NA,<0.580,<0.190,NA,NA,<0.320,NA,<0.160,<0.130,NA,<0.150,<0.180,<1.24,<0.480,<0.080
