Code,Name,Indicator,Value,Stat,Failure
AP_AMB1,Euri Creek,Chla,0.45,mean,high
AP_AMB2,Spoil Grounds,Chla,0.45,mean,high
AP_AMB3,Elliot River,Chla,0.45,mean,high
AP_AMB4,Camp Island,Chla,0.45,mean,high
AP_AMB5,Holbourne Island,Chla,0.45,mean,high
WHI1,Double Cone Island,NOx,1,median,high
WHI4,Pine Island,NOx,1,median,high
WHI5,Seaforth Island,NOx,1,median,high
WHI6,O'Connell River mouth,NOx,4,median,high
WHI7,Repulse Islands dive mooring,NOx,1,,high
MKY_AMB1,Freshwater Point,NOx,NA,,high
MKY_AMB2,Hay Reef,NOx,NA,NA,high
MKY_AMB3B,Round Top Island,NOx,NA,,high
MKY_AMB5,Slade Island,NOx,NA,NA,high
MKY_AMB6B,Dudgeon Point,NOx,NA,NA,high
MKY_AMB8,Relocation ground (Spoil grounds),NOx,NA,NA,high
MKY_AMB10,Victor Island,NOx,NA,,high
MKY_AMB12,Keswick Island,NOx,1.00E-06,median,high
MKY_CAM1,Aquilla Island,NOx,3,median,high
MKY_CAM2,Carmila_2,NOx,3,median,high
MKY_CAM3,Carmila_3,NOx,3,median,high
AP_AMB1,Euri Creek,NOx,3,mean,high
AP_AMB2,Spoil Grounds,NOx,3,mean,high
AP_AMB3,Elliot River,NOx,3,mean,high
AP_AMB4,Camp Island,NOx,3,mean,high
AP_AMB5,Holbourne Island,NOx,3,mean,high
WHI1,Double Cone Island,PN,13,median,high
WHI4,Pine Island,PN,13,median,high
WHI5,Seaforth Island,PN,13,median,high
WHI6,O'Connell River mouth,PN,NA,,high
WHI7,Repulse Islands dive mooring,PN,13,median,high
MKY_AMB1,Freshwater Point,PN,20,mean,high
MKY_AMB2,Hay Reef,PN,20,mean,high
MKY_AMB3B,Round Top Island,PN,20,mean,high
MKY_AMB5,Slade Island,PN,20,mean,high
MKY_AMB6B,Dudgeon Point,PN,20,mean,high
MKY_AMB8,Relocation ground (Spoil grounds),PN,20,mean,high
MKY_AMB10,Victor Island,PN,20,mean,high
MKY_AMB12,Keswick Island,PN,18,median,high
MKY_CAM1,Aquilla Island,PN,20,mean,high
MKY_CAM2,Carmila_2,PN,20,mean,high
MKY_CAM3,Carmila_3,PN,20,mean,high
AP_AMB1,Euri Creek,PN,20,mean,high
AP_AMB2,Spoil Grounds,PN,20,mean,high
AP_AMB3,Elliot River,PN,20,mean,high
AP_AMB4,Camp Island,PN,20,mean,high
AP_AMB5,Holbourne Island,PN,20,mean,high
WHI1,Double Cone Island,PP,2.4,median,high
WHI4,Pine Island,PP,2.4,median,high
WHI5,Seaforth Island,PP,2.4,median,high
WHI6,O'Connell River mouth,PP,NA,,high
WHI7,Repulse Islands dive mooring,PP,2.4,median,high
